n,total_time,dt,D,cutoff,schedule,chi_values,max_abs_density_error_simple,max_abs_density_error_ctm,max_blockade_violation_simple,max_blockade_violation_ctm,pxp_energy_drift_simple,pxp_energy_drift_ctm,ctm_trust_status,ctm_trust_reason,finite_chi_density_delta,finite_chi_blockade_delta,finite_chi_energy_delta,finite_chi_max_residual,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta,log_norm_delta_abs,reversibility_density_drift,reversibility_blockade_drift,reversibility_energy_drift
3,0.02,0.02,1,1.0e-10,serial,,7.435760056529405e-7,,1.5919293244481216e-7,,4.9293387973014276e-17,,not_run,not_run,,,,,1.5989338961408006e-7,0.0,-1.0773451054821087e-5,-1.0773451054821087e-5,1.0773451054821087e-5,1.0150529311854652e-9,1.0303329749708237e-18,4.939999697529919e-17
3,0.02,0.02,1,1.0e-12,serial,,7.435760056529405e-7,,1.5919293244481216e-7,,4.9293387973014276e-17,,not_run,not_run,,,,,1.5989338961408006e-7,0.0,-1.0773451054821087e-5,-1.0773451054821087e-5,1.0773451054821087e-5,1.0150529311854652e-9,1.0303329749708237e-18,4.939999697529919e-17
3,0.02,0.02,2,1.0e-10,serial,,0.00018878367295945513,,5.302734255546357e-32,,1.15355091508076e-16,,not_run,not_run,,,,,1.0579672926369623e-28,0.0,7.2780453958794435,7.2780453958794435,7.2780453958794435,1.3368468452141337e-31,1.9585073701352433e-62,3.015156388199718e-16
3,0.02,0.02,2,1.0e-12,serial,,0.00018878367295945513,,5.302734255546357e-32,,1.15355091508076e-16,,not_run,not_run,,,,,1.0579672926369623e-28,0.0,7.2780453958794435,7.2780453958794435,7.2780453958794435,1.3368468452141337e-31,1.9585073701352433e-62,3.015156388199718e-16
3,0.02,0.01,1,1.0e-10,serial,,1.2994550363383778e-6,,1.5874966115919638e-7,,5.03864631238195e-17,,not_run,not_run,,,,,1.5955838299076574e-7,0.0,-2.200900563609291e-5,-2.200900563609291e-5,2.200900563609291e-5,4.060344262494372e-9,1.6570316293907522e-17,2.780435661170661e-16
3,0.02,0.01,1,1.0e-12,serial,,1.2994550363383778e-6,,1.5874966115919638e-7,,5.03864631238195e-17,,not_run,not_run,,,,,1.5955838299076574e-7,0.0,-2.200900563609291e-5,-2.200900563609291e-5,2.200900563609291e-5,4.060344262494372e-9,1.6570316293907522e-17,2.780435661170661e-16
3,0.02,0.01,2,1.0e-10,serial,,0.0002442578194162938,,4.1452510085187063e-29,,3.9661072910607866e-15,,not_run,not_run,,,,,1.726704059492116e-15,0.0,25.99301967539131,25.99301967539131,25.99301967539131,3.433021731971919e-20,1.2541382786278676e-39,6.367095580237805e-15
3,0.02,0.01,2,1.0e-12,serial,,0.0002442578194162938,,4.1452510085187063e-29,,3.9661072910607866e-15,,not_run,not_run,,,,,1.726704059492116e-15,0.0,25.99301967539131,25.99301967539131,25.99301967539131,3.433021731971919e-20,1.2541382786278676e-39,6.367095580237805e-15
3,0.02,0.005,1,1.0e-10,serial,,2.544012070703806e-6,,1.5775946031513395e-7,,9.331234829570712e-17,,not_run,not_run,,,,,1.5867449886209842e-7,0.0,-6.121713810095413e-5,-6.121713810095413e-5,6.121713810095413e-5,1.5993029997663545e-8,2.562892340809517e-16,1.258186099005524e-16
3,0.02,0.005,1,1.0e-12,serial,,2.544012070703806e-6,,1.5775946031513395e-7,,9.331234829570712e-17,,not_run,not_run,,,,,1.5867449886209842e-7,0.0,-6.121713810095413e-5,-6.121713810095413e-5,6.121713810095413e-5,1.5993029997663545e-8,2.562892340809517e-16,1.258186099005524e-16
3,0.02,0.005,2,1.0e-10,serial,,0.0002442407844867242,,9.550556895911093e-29,,2.1652544369716618e-14,,not_run,not_run,,,,,1.0773092433525937e-15,0.0,63.42296782726778,63.42296782726778,63.42296782726778,2.5701355250345273e-20,4.2598983272387845e-40,6.469032663093337e-15
3,0.02,0.005,2,1.0e-12,serial,,0.0002442407844867242,,9.550556895911093e-29,,2.1652544369716618e-14,,not_run,not_run,,,,,1.0773092433525937e-15,0.0,63.42296782726778,63.42296782726778,63.42296782726778,2.5701355250345273e-20,4.2598983272387845e-40,6.469032663093337e-15
